cat,words
corporate,Firm Risk Board Share Stock Brand Trade Legal Board Profit Market Assets Fiscal Ethics Bylaws Company Revenue Mergers Ethical Capital Startup Company Mergers Business Industry Strategy Dividend Monopoly Takeover Earnings Business Attorney Executive Liability Marketing Expansion Debenture Corporate Directors Contracts Liability Antitrust Mediation Labor law Enterprise Commercial Management  Governance  Innovation Leadership Subsidiary Compliance Investment Securities Capitalism Divestment Net income Regulation
consumer protection,User Laws Buyer Legal Legal Fraud Client Patron Rights Safety Shopper Retailer End-user  Advocacy Purchaser Protection Complaints Litigation Regulations debt goods trust Green  Loyal Savvy Smart fraud Youth fraud rights  market demand trends safety credit Online Social Credit Frugal  Global Luxury safety rights reviews choices finance surplus Ethical  Average  privacy Digital consumer Impulse Consumer behavior
labor law,Law  Income Rights Unions Laborer Employee Employer Workforce Salary day Occupation Employment Regulation Trade Hourly wage force Trade  union Child  market  wage rights Employment Manual strike abuses Minimum Forced Unemployment abuses disput reforms strikes  Migrant labor Skilled  strikes reforms movement shortage activism Labor protests
intellectual property, IP law Branding Invention  Licensing  Royalties Licensing Ownership  Protection Innovation Protection Creativity  Infringement  Trade secrets Public domain  office law Patent search  Trade secrets Public domain search  Inventive step Inventor owner Inventor rights  office  symbol notice Exclusive rights holder Trademark symbol notice Industrial design  Patent protection litigation Patent application  Copyright duration Trademark attorney
criminal,Gang Jury Bail Rape Gang Jury Bail Crime Trial Theft Fraud Arson Alibi Judge Court Legal Crime Trial Theft Fraud Arson Judge Court Legal Felony Police Arrest Prison Guilty Parole Escape Police Arrest Prison Guilty Parole Escape Rights Lawyer Felony Victim  Suspect Robbery Assault Forgery Bribery Hacking Convict Penalty Warrant Mugshot Booking Offense Justice Suspect Witness Defense
Tax,Income Refund Revenue  law payer ation  code  rate Deduction  audit  forms Sales   break  return -exempt Excise   season  bracket  credits  evasion  shelter  benefit  planning Property   deadline  liability  able goods  consultant able income  assessment  compliance  collection Sales  rate  season rush  law changes  law updates  refund check  forms filing Excise  rates  audit process -exempt status  planning tips  rate analysis able goods list VAT implementation  season support  law compliance  consultant fees deductions list  rate adjustment   defense  avoidance  rate calculation  forms submission  audit resolution Sales  exemptions Value-added  (VAT)  assessment notice  evasion penalties Excise  definition tax
human rights,Justice Freedom Dignity Privacy Equality Fairness Advocacy Tolerance Injustice Protection Violations Empowerment Basic needs Humanitarian Civil s Child s Equality Act  to life  to work  to vote  to food LGBTQ+ s Discrimination Social justice Responsibility Women's s Refugee s Migrant s United Nations Bill of s Fair treatment Civil liberties Social equality Minority s Gender equality Racial equality Freedom to love Universal s Political s  to housing Human s law Legal protection Social inclusion  to privacy Freedom to marry Child protection Freedom of speech  to marriage Anti-torture laws Access to justice Anti-slavery laws  from fear Freedom  choose to education Human  Watch Inalienable s Refugee protection Universal suffrage  protest  religion Freedom  assembly
civil,Freedom Protest Equality Fairness Activism Tolerance Injustice Equal pay Protection Segregation Integration  Desegregation Voting rights Right to vote Right to work Discrimination Social liberties Minority  Racial Gender Equal protection Right to housing Right to privacy Right to protest Equal opportunity Religious freedom Marriage equality Disability rights Right Citizenship assemble housing justice representation  marriage Freedom expression Civil rights movement  education Freedom  prejudice Equal rights amendment  voting  sports Equality law Right  fair treatment  housing justice Anti-discrimination laws marriage education healthcare technology recreation  transportation  access  information Equal opportunity employment
family,Mother Father Parents Divorce Custody Brother Alimony Children  Adoption Paternity Parenting Annulment  abuse Foster care Guardianship Sole court  Joint custody Child welfare Child neglect Blended  Nuclear  Domestic abuse Child advocacy Divorce decree Parenting plan Spousal support  dynamics Extended  mediator violence Adoption agency Custody hearing structure Legal separation  counselor therapist  protection  license Family therapist Adoption process Visitation rights Guardianship laws  ceremony  counseling Divorce settlement support order Marriage counseling Custody arrangement Domestic partnership Single-parent  Prenuptial agreement Family court process Child welfare agency Postnuptial agreement Spousal support order
constitutional,Legal Civic Rights Freedom Justice Citizen Preamble Equality Amendment Democracy Government Due process Citizenship Civil rights Supreme Court Bill of rights Constitutional law Checks and balances Separation of powers Constitutional rights Constitutional issues Constitutional reforms Constitutional history Constitutional debates Constitutional monarchy Constitutional amendment Constitutional framework Constitutional democracy Constitutional documents Constitutional convention Constitutional government Constitutional principles Constitutional governance Constitutional protections Constitutional development Constitutional conventions Constitutional interpretation Constitutional reform efforts Constitutional interpretations Constitutional history overview Constitutional history overview Constitutional history overview Constitutional history overview Constitutional history overview Constitutional amendments debate Constitutional rights protection Constitutional rights protection Constitutional rights protection Constitutional rights protection Constitutional rights protection Constitutional amendments process Constitutional rights enforcement Constitutional governance overview Constitutional governance overview Constitutional governance overview Constitutional governance overview Constitutional governance overview Constitutional framework definition Constitutional monarchy explanation Constitutional issues clarification Constitutional framework definition
